Bank,Stock symbol,Year,Word rank,Vietnam rank,Brand value ($M),Brand Value Change
Vietcombank,VCB,2021,180,6,1048,
Vietcombank,VCB,2022,162,7,1344,0.282
Vietcombank,VCB,2023,137,4,1917,0.427
BIDV,BID,2021,246,13,,
BIDV,BID,2022,212,13,831,
BIDV,BID,2023,161,7,1404,0.69
VietinBank,CTG,2021,216,10,793,
VietinBank,CTG,2022,184,9,1064,0.342
VietinBank,CTG,2023,171,10,1302,0.22
Techcombank,TCB,2021,270,15,524,
Techcombank,TCB,2022,196,10,945,0.804
Techcombank,TCB,2023,163,8,1386,0.47
Agribank,AGR,2021,173,5,1152,
Agribank,AGR,2022,157,6,1412,0.225
Agribank,AGR,2023,159,6,1436,0.02
VPBank,VPB,2021,243,12,,
VPBank,VPB,2022,205,11,,
VPBank,VPB,2023,173,11,1280,
