Bank,Year,Average Change
AGR,2018,0.013986486486486479
BID,2018,0.125
CTG,2018,-0.2177027027027027
TCB,2018,-0.1595945945945946
VCB,2018,-0.042770270270270284
AGR,2019,0.03828
BID,2019,0.13668
CTG,2019,0.04296
TCB,2019,-0.029039999999999996
VCB,2019,0.21896000000000002
AGR,2020,0.3939285714285714
BID,2020,0.05353174603174603
CTG,2020,0.2371825396825397
TCB,2020,0.14345238095238094
VCB,2020,0.053769841269841266
AGR,2021,0.49856
BID,2021,0.011359999999999999
CTG,2021,0.13244
TCB,2021,0.21067999999999998
VCB,2021,0.031999999999999994
AGR,2022,-0.4244979919678715
BID,2022,0.05449799196787149
CTG,2022,-0.05056224899598394
TCB,2022,-0.2291566265060241
VCB,2022,0.02305220883534137
AGR,2023,0.3470682730923695
BID,2023,0.06325301204819277
CTG,2023,0.011325301204819284
TCB,2023,0.09835341365461849
VCB,2023,0.016787148594377518
AGR,2024,0.26608695652173914
BID,2024,0.1718478260869565
CTG,2024,0.255
TCB,2024,0.4752173913043478
VCB,2024,0.15608695652173912
