Date,Price,Open,High,Low,Vol.,Change %,Bank
05/20/2024,"42,500.0","43,000.0","43,600.0","42,350.0",1.93M,-1.16%,CTS
05/17/2024,"43,000.0","42,500.0","43,700.0","42,100.0",1.95M,1.53%,CTS
05/16/2024,"42,350.0","42,250.0","43,400.0","42,050.0",1.54M,0.24%,CTS
05/15/2024,"42,250.0","39,550.0","42,250.0","39,500.0",4.55M,6.96%,CTS
05/14/2024,"39,500.0","39,750.0","40,300.0","39,250.0",1.93M,-0.88%,CTS
05/13/2024,"39,850.0","40,000.0","41,000.0","39,450.0",2.15M,-0.38%,CTS
05/10/2024,"40,000.0","38,300.0","40,000.0","37,700.0",3.45M,4.44%,CTS
05/09/2024,"38,300.0","38,500.0","39,800.0","38,100.0",2.04M,-1.29%,CTS
05/08/2024,"38,800.0","37,900.0","39,250.0","37,300.0",2.77M,2.24%,CTS
05/07/2024,"37,950.0","38,000.0","38,000.0","37,050.0",1.96M,1.74%,CTS
05/06/2024,"37,300.0","35,500.0","37,300.0","35,000.0",4.37M,6.88%,CTS
05/03/2024,"34,900.0","34,950.0","35,750.0","34,600.0",1.55M,0.00%,CTS
05/02/2024,"34,900.0","35,500.0","35,750.0","34,350.0",1.69M,-1.69%,CTS
04/26/2024,"35,500.0","35,150.0","36,250.0","34,500.0",1.35M,0.14%,CTS
04/25/2024,"35,450.0","35,500.0","36,000.0","35,100.0",1.31M,-1.53%,CTS
04/24/2024,"36,000.0","34,200.0","36,150.0","34,200.0",1.83M,5.26%,CTS
04/23/2024,"34,200.0","36,200.0","36,500.0","33,850.0",2.39M,-5.52%,CTS
04/22/2024,"36,200.0","34,100.0","37,000.0","34,100.0",2.12M,3.87%,CTS
04/19/2024,"34,850.0","39,950.0","39,950.0","34,850.0",5.83M,-6.94%,CTS
04/17/2024,"37,450.0","37,300.0","41,000.0","37,300.0",2.69M,-5.79%,CTS
04/16/2024,"39,750.0","35,300.0","40,000.0","35,300.0",4.74M,5.44%,CTS
04/15/2024,"37,700.0","38,000.0","42,000.0","37,700.0",4.54M,-6.91%,CTS
04/12/2024,"40,500.0","38,800.0","40,500.0","38,150.0",3.94M,6.02%,CTS
04/11/2024,"38,200.0","37,400.0","38,400.0","36,400.0",1.70M,2.14%,CTS
04/10/2024,"37,400.0","38,000.0","38,300.0","37,350.0",1.12M,-1.58%,CTS
04/09/2024,"38,000.0","34,100.0","38,000.0","34,100.0",1.05M,4.11%,CTS
04/08/2024,"36,500.0","35,000.0","37,200.0","35,000.0",1.85M,1.39%,CTS
04/05/2024,"36,000.0","38,500.0","38,500.0","35,650.0",2.72M,-6.01%,CTS
04/04/2024,"38,300.0","38,000.0","39,250.0","38,000.0",1.71M,-2.42%,CTS
04/03/2024,"39,250.0","40,500.0","40,700.0","38,700.0",2.28M,-0.63%,CTS
04/02/2024,"39,500.0","39,150.0","39,500.0","38,000.0",2.27M,2.60%,CTS
04/01/2024,"38,500.0","37,600.0","38,700.0","37,500.0",1.68M,0.00%,CTS
03/29/2024,"38,500.0","39,000.0","39,050.0","38,400.0",915.60K,-1.28%,CTS
03/28/2024,"39,000.0","38,550.0","39,500.0","37,550.0",2.73M,3.86%,CTS
03/27/2024,"37,550.0","37,650.0","38,050.0","37,250.0",1.01M,-0.27%,CTS
03/26/2024,"37,650.0","37,500.0","37,900.0","36,500.0",905.50K,0.94%,CTS
03/25/2024,"37,300.0","38,050.0","39,000.0","36,600.0",1.93M,-1.97%,CTS
03/22/2024,"38,050.0","37,100.0","38,700.0","35,000.0",2.61M,1.87%,CTS
03/21/2024,"37,350.0","37,950.0","38,100.0","37,250.0",1.78M,0.00%,CTS
03/20/2024,"37,350.0","36,100.0","37,350.0","36,100.0",1.53M,2.61%,CTS
03/19/2024,"36,400.0","36,300.0","37,100.0","36,000.0",901.10K,1.11%,CTS
03/18/2024,"36,000.0","38,400.0","38,400.0","35,350.0",4.21M,-5.26%,CTS
03/15/2024,"38,000.0","38,400.0","38,700.0","37,200.0",1.96M,-1.04%,CTS
03/14/2024,"38,400.0","38,900.0","39,500.0","38,100.0",2.07M,-1.29%,CTS
03/13/2024,"38,900.0","37,000.0","39,000.0","36,650.0",2.82M,5.56%,CTS
03/12/2024,"36,850.0","37,000.0","37,450.0","36,500.0",2.16M,-0.41%,CTS
03/11/2024,"37,000.0","36,400.0","37,500.0","35,800.0",2.53M,1.37%,CTS
03/08/2024,"36,500.0","36,750.0","37,550.0","35,900.0",3.27M,0.83%,CTS
03/07/2024,"36,200.0","36,500.0","37,900.0","36,050.0",3.09M,0.84%,CTS
03/06/2024,"35,900.0","35,750.0","36,500.0","35,600.0",2.63M,1.70%,CTS
03/05/2024,"35,300.0","33,000.0","35,300.0","32,300.0",4.74M,6.97%,CTS
03/04/2024,"33,000.0","33,500.0","33,800.0","32,800.0",1.89M,-0.75%,CTS
03/01/2024,"33,250.0","32,500.0","34,000.0","32,500.0",3.08M,3.42%,CTS
02/29/2024,"32,150.0","31,900.0","32,800.0","31,500.0",2.94M,1.90%,CTS
02/28/2024,"31,550.0","31,500.0","32,000.0","31,250.0",1.71M,0.48%,CTS
02/27/2024,"31,400.0","31,600.0","32,300.0","31,350.0",2.13M,0.64%,CTS
02/26/2024,"31,200.0","29,900.0","31,500.0","29,750.0",2.27M,3.65%,CTS
02/23/2024,"30,100.0","30,800.0","31,300.0","29,900.0",2.50M,-2.27%,CTS
02/22/2024,"30,800.0","30,950.0","31,000.0","30,750.0",1.09M,-0.65%,CTS
02/21/2024,"31,000.0","31,100.0","31,150.0","30,700.0",1.16M,-0.48%,CTS
02/20/2024,"31,150.0","31,250.0","31,950.0","31,000.0",2.17M,1.14%,CTS
02/19/2024,"30,800.0","31,000.0","31,000.0","30,400.0",2.00M,-0.65%,CTS
02/16/2024,"31,000.0","30,900.0","31,450.0","30,800.0",1.16M,0.32%,CTS
02/15/2024,"30,900.0","31,300.0","31,300.0","30,800.0",1.70M,-1.12%,CTS
02/07/2024,"31,250.0","31,400.0","31,400.0","31,000.0",928.40K,0.32%,CTS
02/06/2024,"31,150.0","31,450.0","31,700.0","30,800.0",1.41M,0.00%,CTS
02/05/2024,"31,150.0","31,300.0","31,500.0","30,650.0",1.73M,-0.32%,CTS
02/02/2024,"31,250.0","31,250.0","31,650.0","30,600.0",2.14M,1.13%,CTS
