Date,Price,Open,High,Low,Vol.,Change %,Ticker Symbol,Bank Name
05/20/2024,"91,900","92,000","98,200","88,700",1.04M,0.11%,VCB,Vietcombank
05/17/2024,"91,800","92,700","93,000","91,700",1.08M,-0.86%,VCB,Vietcombank
05/16/2024,"92,600","92,000","92,700","91,000",1.71M,1.76%,VCB,Vietcombank
05/15/2024,"91,000","90,700","92,700","84,900",883.10K,0.23%,VCB,Vietcombank
05/14/2024,"90,790","95,000","96,500","90,500",818.40K,-0.23%,VCB,Vietcombank
05/13/2024,"91,000","92,000","95,000","90,500",1.23M,-1.09%,VCB,Vietcombank
05/10/2024,"92,000","92,600","97,000","91,700",823.40K,-0.54%,VCB,Vietcombank
05/09/2024,"92,500","93,000","93,400","89,500",606.60K,-0.54%,VCB,Vietcombank
05/08/2024,"93,000","92,900","94,300","86,400",1.25M,0.11%,VCB,Vietcombank
05/07/2024,"92,900","93,500","94,100","92,800",1.15M,7.90%,VCB,Vietcombank
05/06/2024,"86,100","93,000","93,900","86,100",1.02M,-6.92%,VCB,Vietcombank
05/03/2024,"92,500","93,500","93,500","90,800",1.47M,0.65%,VCB,Vietcombank
05/02/2024,"91,900","91,200","93,000","90,360",932.40K,0.77%,VCB,Vietcombank
04/26/2024,"91,200","92,000","93,300","91,000",1.70M,0.22%,VCB,Vietcombank
04/25/2024,"91,000","90,700","92,900","89,700",1.24M,1.11%,VCB,Vietcombank
04/24/2024,"90,000","90,100","94,800","90,000",1.93M,-0.11%,VCB,Vietcombank
04/23/2024,"90,100","91,500","91,500","89,000",1.56M,-0.55%,VCB,Vietcombank
04/22/2024,"90,600","88,500","96,600","88,500",999.10K,0.11%,VCB,Vietcombank
04/19/2024,"90,500","92,000","92,400","89,700",1.32M,0.04%,VCB,Vietcombank
04/17/2024,"90,460","92,400","96,700","89,500",1.45M,-0.59%,VCB,Vietcombank
04/16/2024,"91,000","92,000","94,500","90,000",1.86M,-1.09%,VCB,Vietcombank
04/15/2024,"92,000","96,000","101,200","88,400",1.90M,-2.75%,VCB,Vietcombank
04/12/2024,"94,600","96,000","96,000","93,800",844.80K,0.64%,VCB,Vietcombank
04/11/2024,"94,000","93,500","95,000","91,000",778.00K,-0.53%,VCB,Vietcombank
04/10/2024,"94,500","97,000","99,000","87,700",737.40K,0.21%,VCB,Vietcombank
04/09/2024,"94,300","94,500","95,400","94,200",686.80K,-0.74%,VCB,Vietcombank
04/08/2024,"95,000","94,900","95,300","92,300",838.80K,0.11%,VCB,Vietcombank
04/05/2024,"94,900","96,100","102,500","93,200",779.20K,-1.15%,VCB,Vietcombank
04/04/2024,"96,000","93,600","96,600","92,000",2.02M,1.96%,VCB,Vietcombank
04/03/2024,"94,150","94,500","94,800","93,800",1.32M,-0.37%,VCB,Vietcombank
04/02/2024,"94,500","96,000","100,500","88,800",969.00K,-0.74%,VCB,Vietcombank
04/01/2024,"95,200","94,900","96,000","94,700",1.22M,0.32%,VCB,Vietcombank
03/29/2024,"94,900","95,700","97,500","90,600",801.20K,-0.84%,VCB,Vietcombank
03/28/2024,"95,700","97,900","97,900","95,500",1.23M,-0.10%,VCB,Vietcombank
03/27/2024,"95,800","96,300","100,200","94,800",1.05M,-0.52%,VCB,Vietcombank
03/26/2024,"96,300","95,700","96,600","95,600",735.40K,0.63%,VCB,Vietcombank
03/25/2024,"95,700","96,400","96,900","94,100",1.37M,-0.73%,VCB,Vietcombank
03/22/2024,"96,400","95,300","96,800","95,200",1.84M,1.26%,VCB,Vietcombank
03/21/2024,"95,200","94,000","95,500","94,000",1.45M,2.15%,VCB,Vietcombank
03/20/2024,"93,200","92,500","94,100","92,500",897.70K,0.76%,VCB,Vietcombank
03/19/2024,"92,500","92,500","93,500","92,500",868.50K,-0.54%,VCB,Vietcombank
03/18/2024,"93,000","94,300","94,500","92,500",1.84M,-1.06%,VCB,Vietcombank
03/15/2024,"94,000","95,000","95,000","93,900",2.30M,-1.05%,VCB,Vietcombank
03/14/2024,"95,000","96,000","96,100","94,600",2.32M,-1.04%,VCB,Vietcombank
03/13/2024,"96,000","94,900","96,500","94,300",3.12M,1.69%,VCB,Vietcombank
03/12/2024,"94,400","94,100","94,900","94,000",1.11M,0.32%,VCB,Vietcombank
03/11/2024,"94,100","95,100","96,000","94,100",1.84M,-1.05%,VCB,Vietcombank
03/08/2024,"95,100","95,900","96,500","95,100",2.23M,-0.73%,VCB,Vietcombank
03/07/2024,"95,800","95,900","97,400","95,500",2.36M,-0.21%,VCB,Vietcombank
03/06/2024,"96,000","95,500","96,800","95,400",1.32M,0.52%,VCB,Vietcombank
03/05/2024,"95,500","96,600","96,600","95,200",1.36M,-0.52%,VCB,Vietcombank
03/04/2024,"96,000","98,000","98,000","95,600",1.64M,-1.34%,VCB,Vietcombank
03/01/2024,"97,300","98,200","98,200","94,900",2.38M,0.00%,VCB,Vietcombank
02/29/2024,"97,300","98,500","100,500","97,300",1.90M,-0.10%,VCB,Vietcombank
02/28/2024,"97,400","91,000","97,400","90,400",4.22M,6.92%,VCB,Vietcombank
02/27/2024,"91,100","89,600","91,200","89,100",1.60M,1.79%,VCB,Vietcombank
02/26/2024,"89,500","88,900","90,000","88,900",722.00K,-0.11%,VCB,Vietcombank
02/23/2024,"89,600","89,500","91,400","88,900",1.80M,0.11%,VCB,Vietcombank
02/22/2024,"89,500","90,600","91,000","89,500",1.22M,-1.86%,VCB,Vietcombank
02/21/2024,"91,200","91,700","91,700","90,500",1.37M,-0.11%,VCB,Vietcombank
