,Prediction
1118,35422.68098976942
1119,35333.70250563857
1120,34802.52832057508
1121,34689.90486483746
1122,35295.55765281735
1123,34702.239145383086
1124,33988.78341085464
1125,34822.94138579643
1126,35108.97789125035
1127,34787.52143185952
1128,36453.804989153825
1129,36426.238014930335
1130,36134.0596983672
1131,35887.56566873556
1132,35867.544550525934
1133,35873.315035637796
1134,36480.5123691539
1135,36035.95889651822
1136,35563.92358076375
1137,36431.02607774563
1138,37156.66420898023
1139,36137.712588821865
1140,37750.976441558254
1141,37573.615427811004
1142,37286.81295280027
1143,36959.31960086011
1144,36856.174591781986
1145,36818.690277232155
1146,37723.60024996029
1147,37735.946106756215
1148,36885.44689672368
1149,37871.04517141839
1150,38194.47784182536
1151,36975.2093003457
1152,38813.374265935454
1153,38726.808000839046
1154,38455.990010921865
1155,38228.55726588216
1156,38025.97711962502
1157,37981.089405388186
1158,38691.688508648935
1159,38361.84628016058
1160,37685.24606543433
1161,38583.7922077027
1162,39037.04559120463
1163,38157.74660993434
1164,39865.40180006673
1165,39764.71779795874
1166,39481.87698730699
1167,39213.626243891355
1168,39100.762163566906
1169,39073.68941232717
1170,39821.370551479915
1171,39577.07396456294
1172,38900.941318448306
1173,39820.57081758609
1174,40310.12441043149
1175,39269.6427221703
1176,40994.71152015665
1177,40875.94362684542
1178,40596.12912034764
1179,40324.39596178777
1180,40182.9878511253
1181,40146.53951222025
1182,40928.44996451023
1183,40731.25179172522
1184,40002.57257176262
1185,40934.62615909006
1186,41361.5436478767
1187,40323.87888614924
1188,42076.81661557632
1189,41974.06471955252
1190,41695.89157768457
1191,41438.688292564264
1192,41288.91360303251
1193,41253.21799423466
1194,42001.700976128
1195,41748.136727325196
1196,41053.53120405301
1197,41971.16142175433
1198,42427.95739214436
1199,41436.88041845412
1200,43166.44077429595
1201,43058.69323046841
1202,42778.54221036207
1203,42512.92439887927
1204,42377.17246018661
1205,42343.80331461196
1206,43103.768563492304
1207,42872.756292178776
1208,42171.750538240914
1209,43095.03970920659
1210,43551.19810183173
1211,42528.94060366081
1212,44265.35016411149
1213,44156.0439198864
1214,43876.68764420304
1215,43612.18369107629
1216,43469.81470749264
1217,43434.70462099614
1218,44197.23569232515
1219,43968.472661767686
1220,43261.397929275234
1221,44185.33545706892
1222,44632.93300043926
1223,43616.98204628613
1224,45355.954896945026
1225,45249.1643299228
1226,44969.88476698203
1227,44707.18342031185
1228,44564.91026569229
1229,44530.234833894734
1230,45287.64578247108
1231,45050.64323819634
1232,44349.4428782735
1233,45271.2582044926
1234,45724.621432925465
1235,44713.93130192838
1236,46449.17752708525
1237,46341.21720990041
1238,46061.64894335449
1239,45797.43926085758
1240,45657.09157958579
1241,45622.65614252146
1242,46382.63009357631
1243,46150.31675818208
1244,45447.114694061995
1245,46370.11705255982
1246,46822.29794459451
1247,45806.287792754134
1248,47543.190446209024
1249,47435.23602659081
1250,47155.832695163954
1251,46892.06358859782
1252,46750.433403165676
1253,46715.71112311213
1254,47475.55441963239
1255,47242.66312926419
1256,46538.99965764613
1257,47461.86665925653
1258,47913.08528797932
1259,46898.95867368023
1260,48635.90233222826
1261,48528.29548485036
1262,48248.8714920842
1263,47985.268646402474
1264,47843.89508198473
1265,47809.287472958
1266,48568.44587307627
1267,48334.52218536309
1268,47631.76049071907
1269,48554.359021899814
1270,49006.55939356631
1271,47992.80459110706
1272,49729.22393197235
1273,49621.389001387106
1274,49341.928912412906
1275,49078.0854545415
1276,48936.93008430001
1277,48902.33398296523
1278,49661.977584089225
1279,49428.899738878994
1280,48725.6894930119
1281,49648.503494291625
1282,50100.35371259526
1283,49085.79096996478
1284,50822.53938632023
1285,50714.748548991585
1286,50435.318170013255
1287,50171.58143220398
1288,50030.20689802641
1289,49995.56885472485
1290,50755.10228562032
1291,50521.78384405938
1292,49818.59475048286
1293,50741.34910767162
1294,51193.13238628408
1295,50178.98401180723
1296,51915.675673990045
1297,51807.92464659165
1298,51528.485766717014
1299,51264.75182514168
1300,51123.454444005736
1301,51088.840252886286
1302,51848.2996555027
1303,51614.88376614887
1304,50911.81565207361
1305,51834.544113988355
1306,52286.4761702727
1307,51272.30071068409
1308,53008.93046697146
1309,52901.14027216085
1310,52621.69800202234
1311,52357.93017929198
1312,52216.648402679486
1313,52182.031280970004
1314,52941.571981887595
1315,52708.29182192639
1316,52005.13858109598
1317,52927.901822029686
1318,53379.75711588073
1319,52365.47480893218
1320,54102.16192332041
1321,53994.385271662184
1322,53714.94776280431
1323,53451.20116076052
1324,53309.88604567184
1325,53275.26366654076
1326,54034.77367176911
1327,53801.434410516966
1328,53098.30025323885
1329,54021.04862820132
1330,54472.90920839199
1331,53458.7046087863
1332,55195.37297368107
1333,55087.59927033347
1334,54808.159679798475
1335,54544.4094389849
1336,54403.11134341165
1337,54368.49326789425
1338,55127.99883636895
1339,54894.657281839616
1340,54191.53627234871
1341,55114.28387866111
1342,55566.16407750937
1343,54551.94097975565
1344,56288.60432151296
