"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2024","20,150.0","20,100.0","20,600.0","20,100.0","1.41M","0.25%"
"05/17/2024","20,100.0","19,700.0","20,300.0","19,400.0","2.31M","2.03%"
"05/16/2024","19,700.0","20,500.0","20,500.0","19,600.0","1.65M","0.25%"
"05/15/2024","19,650.0","19,150.0","20,100.0","18,950.0","3.15M","3.15%"
"05/14/2024","19,050.0","19,150.0","19,250.0","18,900.0","959.70K","-0.26%"
"05/13/2024","19,100.0","19,250.0","19,300.0","18,650.0","2.08M","1.06%"
"05/10/2024","18,900.0","18,650.0","19,000.0","18,450.0","1.48M","1.34%"
"05/09/2024","18,650.0","19,200.0","19,300.0","18,600.0","1.20M","-1.06%"
"05/08/2024","18,850.0","18,400.0","19,100.0","18,250.0","2.65M","1.62%"
"05/07/2024","18,550.0","19,050.0","19,050.0","18,400.0","1.69M","-0.54%"
"05/06/2024","18,650.0","17,250.0","19,000.0","17,250.0","2.47M","4.78%"
"05/03/2024","17,800.0","17,600.0","18,100.0","17,300.0","1.41M","1.42%"
"05/02/2024","17,550.0","18,400.0","18,600.0","17,250.0","2.16M","-2.50%"
"04/26/2024","18,000.0","16,950.0","18,450.0","16,950.0","1.71M","-1.10%"
"04/25/2024","18,200.0","18,800.0","18,800.0","18,000.0","1.98M","-1.62%"
"04/24/2024","18,500.0","17,750.0","18,700.0","17,500.0","2.97M","4.52%"
"04/23/2024","17,700.0","19,050.0","19,300.0","17,700.0","3.43M","-6.84%"
"04/22/2024","19,000.0","18,300.0","19,350.0","18,100.0","2.91M","3.83%"
"04/19/2024","18,300.0","19,000.0","19,700.0","18,300.0","6.26M","-6.87%"
"04/17/2024","19,650.0","20,950.0","20,950.0","19,500.0","2.93M","-4.15%"
"04/16/2024","20,500.0","20,150.0","20,500.0","18,850.0","4.29M","1.74%"
"04/15/2024","20,150.0","21,650.0","22,450.0","20,150.0","5.48M","-6.93%"
"04/12/2024","21,650.0","20,950.0","21,700.0","20,850.0","2.28M","3.34%"
"04/11/2024","20,950.0","20,200.0","21,000.0","20,100.0","1.43M","1.21%"
"04/10/2024","20,700.0","21,050.0","21,100.0","20,700.0","1.26M","-1.66%"
